Indicator,Group,State,Subgroup,Time Period Start Date,Time Period End Date,Value
Depressive Disorder,National Estimate,United States,United States,2020-04-23,2020-05-05,23.5
Depressive Disorder,By Age,United States,18 - 29 years,2020-04-23,2020-05-05,32.7
Depressive Disorder,By Age,United States,30 - 39 years,2020-04-23,2020-05-05,25.7
Depressive Disorder,By Age,United States,40 - 49 years,2020-04-23,2020-05-05,24.8
Depressive Disorder,By Age,United States,50 - 59 years,2020-04-23,2020-05-05,23.2
Depressive Disorder,By Age,United States,60 - 69 years,2020-04-23,2020-05-05,18.4
Depressive Disorder,By Age,United States,70 - 79 years,2020-04-23,2020-05-05,13.6
Depressive Disorder,By Age,United States,80 years and above,2020-04-23,2020-05-05,14.4
Depressive Disorder,By Sex,United States,Male,2020-04-23,2020-05-05,20.8
Depressive Disorder,By Sex,United States,Female,2020-04-23,2020-05-05,26.1
Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,2020-05-05,29.4
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,2020-05-05,21.4
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,25.6
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,23.6
Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,28.3
Depressive Disorder,By Education,United States,Less than a high school diploma,2020-04-23,2020-05-05,32.7
Depressive Disorder,By Education,United States,High school diploma or GED,2020-04-23,2020-05-05,25.4
Depressive Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,2020-05-05,25.6
Depressive Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,2020-05-05,17.6
Depressive Disorder,By State,Alabama,Alabama,2020-04-23,2020-05-05,18.6
Depressive Disorder,By State,Alaska,Alaska,2020-04-23,2020-05-05,19.2
Depressive Disorder,By State,Arizona,Arizona,2020-04-23,2020-05-05,22.4
Depressive Disorder,By State,Arkansas,Arkansas,2020-04-23,2020-05-05,26.6
Depressive Disorder,By State,California,California,2020-04-23,2020-05-05,25.4
Depressive Disorder,By State,Colorado,Colorado,2020-04-23,2020-05-05,22.0
Depressive Disorder,By State,Connecticut,Connecticut,2020-04-23,2020-05-05,24.4
Depressive Disorder,By State,Delaware,Delaware,2020-04-23,2020-05-05,21.1
Depressive Disorder,By State,District of Columbia,District of Columbia,2020-04-23,2020-05-05,26.4
Depressive Disorder,By State,Florida,Florida,2020-04-23,2020-05-05,22.5
Depressive Disorder,By State,Georgia,Georgia,2020-04-23,2020-05-05,25.6
Depressive Disorder,By State,Hawaii,Hawaii,2020-04-23,2020-05-05,20.0
Depressive Disorder,By State,Idaho,Idaho,2020-04-23,2020-05-05,20.6
Depressive Disorder,By State,Illinois,Illinois,2020-04-23,2020-05-05,23.3
Depressive Disorder,By State,Indiana,Indiana,2020-04-23,2020-05-05,26.4
Depressive Disorder,By State,Iowa,Iowa,2020-04-23,2020-05-05,16.5
Depressive Disorder,By State,Kansas,Kansas,2020-04-23,2020-05-05,22.1
Depressive Disorder,By State,Kentucky,Kentucky,2020-04-23,2020-05-05,23.2
Depressive Disorder,By State,Louisiana,Louisiana,2020-04-23,2020-05-05,28.1
Depressive Disorder,By State,Maine,Maine,2020-04-23,2020-05-05,19.5
Depressive Disorder,By State,Maryland,Maryland,2020-04-23,2020-05-05,20.9
Depressive Disorder,By State,Massachusetts,Massachusetts,2020-04-23,2020-05-05,25.9
Depressive Disorder,By State,Michigan,Michigan,2020-04-23,2020-05-05,25.5
Depressive Disorder,By State,Minnesota,Minnesota,2020-04-23,2020-05-05,20.4
Depressive Disorder,By State,Mississippi,Mississippi,2020-04-23,2020-05-05,22.9
Depressive Disorder,By State,Missouri,Missouri,2020-04-23,2020-05-05,21.0
Depressive Disorder,By State,Montana,Montana,2020-04-23,2020-05-05,18.2
Depressive Disorder,By State,Nebraska,Nebraska,2020-04-23,2020-05-05,19.1
Depressive Disorder,By State,Nevada,Nevada,2020-04-23,2020-05-05,23.6
Depressive Disorder,By State,New Hampshire,New Hampshire,2020-04-23,2020-05-05,19.5
Depressive Disorder,By State,New Jersey,New Jersey,2020-04-23,2020-05-05,23.6
Depressive Disorder,By State,New Mexico,New Mexico,2020-04-23,2020-05-05,22.4
Depressive Disorder,By State,New York,New York,2020-04-23,2020-05-05,28.7
Depressive Disorder,By State,North Carolina,North Carolina,2020-04-23,2020-05-05,21.1
Depressive Disorder,By State,North Dakota,North Dakota,2020-04-23,2020-05-05,17.0
Depressive Disorder,By State,Ohio,Ohio,2020-04-23,2020-05-05,21.2
Depressive Disorder,By State,Oklahoma,Oklahoma,2020-04-23,2020-05-05,20.8
Depressive Disorder,By State,Oregon,Oregon,2020-04-23,2020-05-05,22.5
Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-04-23,2020-05-05,24.7
Depressive Disorder,By State,Rhode Island,Rhode Island,2020-04-23,2020-05-05,24.5
Depressive Disorder,By State,South Carolina,South Carolina,2020-04-23,2020-05-05,21.6
Depressive Disorder,By State,South Dakota,South Dakota,2020-04-23,2020-05-05,17.5
Depressive Disorder,By State,Tennessee,Tennessee,2020-04-23,2020-05-05,22.2
Depressive Disorder,By State,Texas,Texas,2020-04-23,2020-05-05,24.4
Depressive Disorder,By State,Utah,Utah,2020-04-23,2020-05-05,22.9
Depressive Disorder,By State,Vermont,Vermont,2020-04-23,2020-05-05,20.7
Depressive Disorder,By State,Virginia,Virginia,2020-04-23,2020-05-05,21.5
Depressive Disorder,By State,Washington,Washington,2020-04-23,2020-05-05,22.1
Depressive Disorder,By State,West Virginia,West Virginia,2020-04-23,2020-05-05,23.4
Depressive Disorder,By State,Wisconsin,Wisconsin,2020-04-23,2020-05-05,22.0
Depressive Disorder,By State,Wyoming,Wyoming,2020-04-23,2020-05-05,18.9
Anxiety Disorder,National Estimate,United States,United States,2020-04-23,2020-05-05,30.8
Anxiety Disorder,By Age,United States,18 - 29 years,2020-04-23,2020-05-05,40.2
Anxiety Disorder,By Age,United States,30 - 39 years,2020-04-23,2020-05-05,34.4
Anxiety Disorder,By Age,United States,40 - 49 years,2020-04-23,2020-05-05,34.1
Anxiety Disorder,By Age,United States,50 - 59 years,2020-04-23,2020-05-05,31.0
Anxiety Disorder,By Age,United States,60 - 69 years,2020-04-23,2020-05-05,24.9
Anxiety Disorder,By Age,United States,70 - 79 years,2020-04-23,2020-05-05,16.4
Anxiety Disorder,By Age,United States,80 years and above,2020-04-23,2020-05-05,14.6
Anxiety Disorder,By Sex,United States,Male,2020-04-23,2020-05-05,26.1
Anxiety Disorder,By Sex,United States,Female,2020-04-23,2020-05-05,35.4
Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,2020-05-05,36.3
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,2020-05-05,29.0
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,32.8
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,26.3
Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,38.2
Anxiety Disorder,By Education,United States,Less than a high school diploma,2020-04-23,2020-05-05,37.3
Anxiety Disorder,By Education,United States,High school diploma or GED,2020-04-23,2020-05-05,30.6
Anxiety Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,2020-05-05,33.5
Anxiety Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,2020-05-05,27.0
Anxiety Disorder,By State,Alabama,Alabama,2020-04-23,2020-05-05,25.6
