Indicator,Group,State,Subgroup,Time Period Start Date,Time Period End Date,Value
Depressive Disorder,National Estimate,United States,United States,2020-04-23,2020-05-05,23.5
Anxiety Disorder,By State,Vermont,Vermont,2020-04-23,2020-05-05,30.6
Anxiety Disorder,By State,Virginia,Virginia,2020-04-23,2020-05-05,28.5
Anxiety Disorder,By State,Washington,Washington,2020-04-23,2020-05-05,30.6
Anxiety Disorder,By State,West Virginia,West Virginia,2020-04-23,2020-05-05,28.8
Anxiety Disorder,By State,Wisconsin,Wisconsin,2020-04-23,2020-05-05,27.1
Anxiety Disorder,By State,Wyoming,Wyoming,2020-04-23,2020-05-05,24.9
Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2020-04-23,2020-05-05,35.9
Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,2020-04-23,2020-05-05,46.8
Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,2020-04-23,2020-05-05,39.6
Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,2020-04-23,2020-05-05,38.9
Anxiety Disorder,By State,Utah,Utah,2020-04-23,2020-05-05,28.9
Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,2020-04-23,2020-05-05,35.8
Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,2020-04-23,2020-05-05,21.5
Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,2020-04-23,2020-05-05,21.1
Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,2020-04-23,2020-05-05,31.0
Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,2020-04-23,2020-05-05,40.7
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2020-04-23,2020-05-05,42.7
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2020-04-23,2020-05-05,33.6
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2020-04-23,2020-05-05,38.9
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2020-04-23,2020-05-05,31.9
Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2020-04-23,2020-05-05,43.9
Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,2020-04-23,2020-05-05,45.4
Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,2020-04-23,2020-05-05,28.9
Anxiety Disorder,By State,Texas,Texas,2020-04-23,2020-05-05,29.7
Anxiety Disorder,By State,Tennessee,Tennessee,2020-04-23,2020-05-05,28.2
Anxiety Disorder,By State,South Dakota,South Dakota,2020-04-23,2020-05-05,22.1
Anxiety Disorder,By State,Louisiana,Louisiana,2020-04-23,2020-05-05,34.4
Anxiety Disorder,By State,Maine,Maine,2020-04-23,2020-05-05,29.5
Anxiety Disorder,By State,Maryland,Maryland,2020-04-23,2020-05-05,27.7
Anxiety Disorder,By State,Massachusetts,Massachusetts,2020-04-23,2020-05-05,37.0
Anxiety Disorder,By State,Michigan,Michigan,2020-04-23,2020-05-05,32.5
Anxiety Disorder,By State,Minnesota,Minnesota,2020-04-23,2020-05-05,28.5
Anxiety Disorder,By State,Mississippi,Mississippi,2020-04-23,2020-05-05,30.3
Anxiety Disorder,By State,Missouri,Missouri,2020-04-23,2020-05-05,30.4
Anxiety Disorder,By State,Montana,Montana,2020-04-23,2020-05-05,22.8
Anxiety Disorder,By State,Nebraska,Nebraska,2020-04-23,2020-05-05,24.2
Anxiety Disorder,By State,Nevada,Nevada,2020-04-23,2020-05-05,31.4
Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-04-23,2020-05-05,31.3
Anxiety Disorder,By State,New Jersey,New Jersey,2020-04-23,2020-05-05,31.4
Anxiety Disorder,By State,New Mexico,New Mexico,2020-04-23,2020-05-05,27.9
Anxiety Disorder,By State,New York,New York,2020-04-23,2020-05-05,36.1
Anxiety Disorder,By State,North Carolina,North Carolina,2020-04-23,2020-05-05,30.0
Anxiety Disorder,By State,North Dakota,North Dakota,2020-04-23,2020-05-05,21.7
Anxiety Disorder,By State,Ohio,Ohio,2020-04-23,2020-05-05,31.1
Anxiety Disorder,By State,Oklahoma,Oklahoma,2020-04-23,2020-05-05,28.6
Anxiety Disorder,By State,Oregon,Oregon,2020-04-23,2020-05-05,31.5
Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2020-04-23,2020-05-05,31.0
Anxiety Disorder,By State,Rhode Island,Rhode Island,2020-04-23,2020-05-05,27.6
Anxiety Disorder,By State,South Carolina,South Carolina,2020-04-23,2020-05-05,27.8
Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,2020-04-23,2020-05-05,38.5
Anxiety Disorder,By State,Kentucky,Kentucky,2020-04-23,2020-05-05,31.6
Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,2020-04-23,2020-05-05,30.7
Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2020-04-23,2020-05-05,31.5
Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2020-04-23,2020-05-05,34.8
Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2020-04-23,2020-05-05,37.6
Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2020-04-23,2020-05-05,34.6
Anxiety Disorder or Depressive Disorder,By State,New York,New York,2020-04-23,2020-05-05,41.4
Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2020-04-23,2020-05-05,34.6
Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2020-04-23,2020-05-05,27.7
Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2020-04-23,2020-05-05,35.1
Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2020-04-23,2020-05-05,34.1
Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2020-04-23,2020-05-05,36.8
Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-04-23,2020-05-05,35.1
Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2020-04-23,2020-05-05,34.8
Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2020-04-23,2020-05-05,34.4
Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2020-04-23,2020-05-05,25.6
